Sno,Date,District,ConfirmedLocal,ConfirmedForeignNational,Recoverd,OriginType,Origin,Deaths
1,30/1/2020,Thrissur,1,0,1,T,"Wuhan, China",0
2,1/2/2020,Kasaragod,1,0,1,T,"Wuhan, China",0
3,3/2/2020,Alappuzha,1,0,1,T,"Wuhan, China",0
4,8/3/2020,Pathanamthitta,3,0,0,T,Italy,0
5,8/3/2020,Pathanamthitta,2,0,0,PTP,Italy,0
6,9/3/2020,Ernakulam,1,0,0,T,Italy,0
7,10/3/2020,Ernakulam,6,0,0,PTP,Italy,0
8,10/3/2020,Ernakulam,2,0,0,T,Italy,0
9,12/3/2020,Kannur,1,0,0,T,Qatar,0
10,12/3/2020,Thrissur,1,0,0,T,UAE,0
11,13/3/2020,Thiruvananthapuram,0,1,0,T,Italy,0
12,13/3/2020,Thiruvananthapuram,1,0,0,T,"Britian, UK",0
13,13/3/2020,Thiruvananthapuram,1,0,0,T,Nill,0
14,15/3/2020,Idukki,0,1,0,T,"Britian, UK",0
15,15/3/2020,Thiruvananthapuram,1,0,0,T,Spain,0
16,16/3/2020,Kasaragod,1,0,0,T,"Dubai, UAE",0
17,16/3/2020,Malappuram,2,0,0,T,Saudi Arabia,0
18,19/3/2020,Kasaragod,1,0,0,T,"Dubai, UAE",0
19,20/3/2020,Ernakulam,5,0,0,T/PTP,Middle East,0
20,20/3/2020,Kasaragod,6,0,0,T/PTP,Middle East,0
21,20/3/2020,Palakkad,1,0,0,T,Middle East,0
22,21/3/2020,Kasaragod,6,0,0,T,Middle East,0
23,21/3/2020,Kannur,3,0,0,T,Middle East,0
24,21/3/2020,Ernakulam,3,0,0,T,Middle East,0
25,22/3/2020,Kasaragod,5,0,0,T,Middle East,0
26,22/3/2020,Kannur,4,0,0,T,Middle East,0
27,22/3/2020,Malappuram,2,0,0,T,Middle East,0
28,22/3/2020,Ernakulam,2,0,0,T,Middle East,0
29,22/3/2020,Kozhikode,2,0,0,T,Middle East,0
30,23/3/2020,Kasaragod,19,0,0,T,UAE,0
31,23/3/2020,Kannur,5,0,0,T,UAE,0
32,23/3/2020,Ernakulam,2,0,0,T,UAE,0
33,23/3/2020,Thrissur,1,0,0,PTP,UAE,0
34,23/3/2020,Pathanamthitta,1,0,0,PTP,UAE,0
