Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60.0,8
2020-01-24,941,26,36,879,287,8,6,2.76,3.83,72.22,9
2020-01-25,1434,42,39,1353,493,16,3,2.93,2.72,107.69,11
2020-01-26,2118,56,52,2010,684,14,13,2.64,2.46,107.69,13
2020-01-27,2927,82,61,2784,809,26,9,2.8,2.08,134.43,16
2020-01-28,5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16
2020-01-29,6166,133,126,5907,588,2,19,2.16,2.04,105.56,18
2020-01-30,8234,171,143,7920,2068,38,17,2.08,1.74,119.58,20
2020-01-31,9927,213,222,9492,1693,42,79,2.15,2.24,95.95,24
2020-02-01,12038,259,284,11495,2111,46,62,2.15,2.36,91.2,25
2020-02-02,16787,362,472,15953,4749,103,188,2.16,2.81,76.69,25
2020-02-03,19881,426,623,18832,3094,64,151,2.14,3.13,68.38,25
2020-02-04,23892,492,852,22548,4011,66,229,2.06,3.57,57.75,26
2020-02-05,27635,564,1124,25947,3743,72,272,2.04,4.07,50.18,26
2020-02-06,30794,634,1487,28673,3159,70,363,2.06,4.83,42.64,26
2020-02-07,34330,719,2011,31600,3536,85,524,2.09,5.86,35.75,26
2020-02-08,37059,806,2616,33637,2729,87,605,2.17,7.06,30.81,26
2020-02-09,40086,906,3244,35936,3027,100,628,2.26,8.09,27.93,26
2020-02-10,42627,1013,3946,37668,2541,107,702,2.38,9.26,25.67,26
2020-02-11,44667,1113,4683,38871,2040,100,737,2.49,10.48,23.77,26
2020-02-12,46554,1118,5149,40287,1887,5,466,2.4,11.06,21.71,26
2020-02-13,60193,1371,6294,52528,13639,253,1145,2.28,10.46,21.78,26
2020-02-14,66667,1523,8057,57087,6474,152,1763,2.28,12.09,18.9,27
2020-02-15,68745,1666,9394,57685,2078,143,1337,2.42,13.66,17.73,27
2020-02-16,70869,1770,10864,58235,2124,104,1470,2.5,15.33,16.29,27
2020-02-17,72804,1868,12582,58354,1935,98,1718,2.57,17.28,14.85,27
2020-02-18,74594,2007,14351,58236,1790,139,1769,2.69,19.24,13.99,27
2020-02-19,75018,2122,16119,56777,424,115,1768,2.83,21.49,13.16,28
2020-02-20,75563,2245,18175,55143,545,123,2056,2.97,24.05,12.35,28
2020-02-21,76185,2249,18886,55050,622,4,711,2.95,24.79,11.91,30
2020-02-22,77938,2456,22882,52600,1753,207,3996,3.15,29.36,10.73,30
2020-02-23,78267,2466,23391,52410,329,10,509,3.15,29.89,10.54,30
2020-02-24,78834,2626,25224,50984,567,160,1833,3.33,32.0,10.41,35
2020-02-25,79681,2705,27902,49074,847,79,2678,3.39,35.02,9.69,40
2020-02-26,80641,2766,30371,47504,960,61,2469,3.43,37.66,9.11,46
2020-02-27,81999,2810,33261,45928,1358,44,2890,3.43,40.56,8.45,50
2020-02-28,83365,2866,36695,43804,1366,56,3434,3.44,44.02,7.81,56
2020-02-29,85262,2935,39766,42561,1897,69,3071,3.44,46.64,7.38,60
2020-03-01,87620,2990,42700,41930,2358,55,2934,3.41,48.73,7.0,65
2020-03-02,89557,3079,45586,40892,1937,89,2886,3.44,50.9,6.75,72
2020-03-03,92089,3154,48212,40723,2532,75,2626,3.42,52.35,6.54,76
2020-03-04,94369,3248,51154,39967,2280,94,2942,3.44,54.21,6.35,80
2020-03-05,97138,3341,53780,40017,2769,93,2626,3.44,55.36,6.21,84
2020-03-06,101055,3453,55819,41783,3917,112,2039,3.42,55.24,6.19,93
2020-03-07,105076,3552,58311,43213,4021,99,2492,3.38,55.49,6.09,94
2020-03-08,109048,3795,60646,44607,3972,243,2335,3.48,55.61,6.26,99
2020-03-09,112830,3981,62445,46404,3782,186,1799,3.53,55.34,6.38,102
2020-03-10,117669,4257,64356,49056,4839,276,1911,3.62,54.69,6.61,105
2020-03-11,124998,4603,66669,53726,7329,346,2313,3.68,53.34,6.9,111
2020-03-12,130202,4905,67990,57307,5204,302,1321,3.77,52.22,7.21,113
2020-03-13,144488,5403,69917,69168,14286,498,1927,3.74,48.39,7.73,120
2020-03-14,155564,5823,72288,77453,11076,420,2371,3.74,46.47,8.06,133
2020-03-15,166301,6463,75698,84140,10737,640,3410,3.89,45.52,8.54,137
2020-03-16,180722,7143,77751,95828,14421,680,2053,3.95,43.02,9.19,143
2020-03-17,196176,7949,80503,107724,15454,806,2752,4.05,41.04,9.87,146
2020-03-18,215400,8844,82986,123570,19224,895,2483,4.11,38.53,10.66,150
2020-03-19,242308,9950,84623,147735,26908,1106,1637,4.11,34.92,11.76,154
2020-03-20,271907,11430,87068,173409,29599,1480,2445,4.2,32.02,13.13,161
2020-03-21,304037,13130,91331,199576,32130,1700,4263,4.32,30.04,14.38,163
2020-03-22,336776,14828,97546,224402,32739,1698,6215,4.4,28.96,15.2,168
2020-03-23,377531,16746,98011,262774,40755,1918,465,4.44,25.96,17.09,169
2020-03-24,417695,19008,107550,291137,40179,2262,9539,4.55,25.75,17.67,171
2020-03-25,467258,21780,112998,332480,49563,2772,5448,4.66,24.18,19.27,174
2020-03-26,529226,24779,121352,383095,61968,2999,8354,4.68,22.93,20.42,175
2020-03-27,593239,28282,130049,434908,64013,3503,8697,4.77,21.92,21.75,176
2020-03-28,660577,31960,138333,490284,67338,3678,8284,4.84,20.94,23.1,176
2020-03-29,719703,35420,147794,536489,59126,3460,9461,4.92,20.54,23.97,176
2020-03-30,782548,39564,163231,579753,62845,4144,15437,5.06,20.86,24.24,177
2020-03-31,857254,44396,175591,637267,74706,4832,12360,5.18,20.48,25.28,179
2020-04-01,932769,49919,190949,691901,75515,5523,15358,5.35,20.47,26.14,179
2020-04-02,1013538,56201,207563,749774,80769,6282,16614,5.55,20.48,27.08,180
2020-04-03,1095980,62160,222570,811250,82442,5959,15007,5.67,20.31,27.93,180
2020-04-04,1176201,67985,242578,865638,80221,5825,20008,5.78,20.62,28.03,180
2020-04-05,1249837,72959,255982,920896,73636,4974,13404,5.84,20.48,28.5,182
2020-04-06,1321263,78782,272371,970110,71426,5823,16389,5.96,20.61,28.92,183
2020-04-07,1396127,86679,295223,1014225,74864,7897,22852,6.21,21.15,29.36,183
2020-04-08,1480024,93365,323575,1063084,83897,6686,28352,6.31,21.86,28.85,183
2020-04-09,1565894,100941,347903,1117050,85870,7576,24328,6.45,22.22,29.01,183
2020-04-10,1658093,108177,369027,1180889,92199,7236,21124,6.52,22.26,29.31,184
2020-04-11,1736182,114190,394539,1227453,78089,6013,25512,6.58,22.72,28.94,184
2020-04-12,1834939,119880,413408,1301651,98778,5690,18869,6.53,22.53,29.0,184
2020-04-13,1904968,125594,439939,1339435,70029,5714,26531,6.59,23.09,28.55,184
2020-04-14,1975509,132475,464560,1378474,70541,6881,24621,6.71,23.52,28.52,184
2020-04-15,2055762,140736,500471,1414555,80253,8261,35911,6.85,24.34,28.12,184
2020-04-16,2151684,148002,530562,1473120,95922,7266,30091,6.88,24.66,27.9,184
2020-04-17,2240598,156858,555835,1527905,88914,8856,25273,7.0,24.81,28.22,184
2020-04-18,2314096,163284,579337,1571475,73499,6426,23502,7.06,25.04,28.18,184
2020-04-19,2396420,167807,610104,1618509,82324,4523,30767,7.0,25.46,27.5,184
2020-04-20,2470201,173196,631410,1665595,73781,5389,21306,7.01,25.56,27.43,184
2020-04-21,2544785,180288,665591,1698906,74584,7092,34181,7.08,26.16,27.09,184
2020-04-22,2620573,186984,694750,1738839,77976,6696,29159,7.14,26.51,26.91,184
2020-04-23,2709347,193730,723232,1792385,88774,6746,28482,7.15,26.69,26.79,184
2020-04-24,2796661,200068,772873,1823720,97348,6338,49641,7.15,27.64,25.89,184
2020-04-25,2881966,206259,799783,1875924,85305,6191,26910,7.16,27.75,25.79,184
2020-04-26,2955851,209986,827513,1918352,73886,3727,27730,7.1,28.0,25.38,184
2020-04-27,3024652,214540,853925,1956187,68801,4554,26412,7.09,28.23,25.12,184
2020-04-28,3098435,220895,886222,1991318,74305,6355,32297,7.13,28.6,24.93,184
2020-04-29,3173877,227777,927294,2018806,77954,6882,41072,7.18,29.22,24.56,184
2020-04-30,3258612,233469,991158,2033985,84735,5692,63864,7.16,30.42,23.56,186
2020-05-01,3347006,238723,1028043,2080240,88394,5254,36885,7.13,30.72,23.22,186
2020-05-02,3429092,243910,1067904,2117278,82253,5187,39861,7.11,31.14,22.84,186
2020-05-03,3508170,247576,1099119,2161475,79078,3666,31215,7.06,31.33,22.52,186
2020-05-04,3584775,251668,1132069,2201038,76606,4092,32950,7.02,31.58,22.23,186
2020-05-05,3665431,257388,1167698,2240345,80656,5720,35629,7.02,31.86,22.04,186
2020-05-06,3757536,263971,1212436,2281129,92105,6583,44738,7.03,32.27,21.77,186
2020-05-07,3848487,269678,1250853,2327956,92534,5707,38417,7.01,32.5,21.56,186
2020-05-08,3941477,275019,1286389,2380069,94470,5341,35536,6.98,32.64,21.38,186
2020-05-09,4026761,279418,1338908,2408435,85284,4399,52519,6.94,33.25,20.87,186
2020-05-10,4104625,282842,1371649,2450134,77873,3424,32741,6.89,33.42,20.62,186
2020-05-11,4181018,286453,1417745,2476820,76450,3611,46096,6.85,33.91,20.2,186
2020-05-12,4264264,292073,1453732,2518459,83266,5620,35987,6.85,34.09,20.09,186
